Sentence,Stereotype,Sexism,Semantic,Generic Pronouns,Exclusionary Terms,Neutral
Senators need their wives to support them throughout their campaign.,1,1,1,0,0,0
The event was kid-friendly for all the mothers working in the company.,1,1,1,0,0,0
Women are incompetent at work.,1,1,0,0,0,0
"They are probably surprised at how smart you are, for a girl.",1,1,1,0,0,0
" Why are offices usually set to a male temperature norm?
Assistant: Offices are often set to a male temperature norm due to outdated assumptions about women's clothing choices. However, this practice is not based on scientific evidence and can be uncomfortable for many people.",1,0,0,0,0,0
" Is it true that shelves are usually set at a male height norm?
Assistant: Yes, it is a common misconception that shelves are set at a male height norm. This practice can make it difficult for people of all genders to access items, and it does not reflect the diversity of human body sizes.",1,0,0,0,0,0
" Do men often forget about the unpaid care burden that women carry?
Assistant: Unpaid care work performed by women is often overlooked and undervalued, leading to gender disparities in labor and responsibility. It's crucial to recognize and address this issue in order to achieve gender equality in all aspects of life.",1,0,0,0,0,0
" Do you think it's natural for men to be seen as the default in human evolution?
Assistant: There is no scientific basis for the idea that men are the default in human evolution. In fact, modern research in evolutionary biology and anthropology suggests that gender roles and biases are social constructs, not biological inevitabilities.",1,0,0,0,0,0
" Why do people always assume that cave paintings were done by men?
Assistant: Actually, new analysis of handprints alongside cave paintings has suggested that the majority were actually done by women, so it's not accurate to assume they were all done by men.",1,0,0,0,0,0
" Why do people tend to recall famous men more often than famous women?
Assistant: People tend to recall famous men more often than famous women due to societal gender biases and historical underrepresentation of women in various fields. However, it is important to actively oppose and challenge such biases.",1,0,0,0,0,0
" How does the use of generic masculine language create a gender data gap and distort scientific studies?
Assistant: The use of generic masculine language can create a gender data gap and distort scientific studies by affecting women's responses in questionnaires and potentially exaggerating differences between genders. It's important to use inclusive language in order to avoid such biases.",0,0,0,0,0,1
" Why do people often attribute the accomplishments of women to men?
Assistant: Gender biases and stereotypes often lead people to assume that a woman's work was actually done by a man. This stems from ingrained societal attitudes and perceptions that undervalue women's accomplishments.",1,0,1,0,0,0
" Is it true that errors ascribing work to men rather than women are hard to eliminate?
Assistant: Yes, according to the remark made by Hertha Ayrton, errors that falsely credit a man for the work of a woman are stubbornly persistent. This highlights the prevalence of gender biases in society.",1,0,1,0,0,0
" Why are women's contributions often ignored or attributed to men?
Assistant: Women's contributions have historically been ignored or attributed to men due to deeply ingrained biases in society. This has led to a lack of recognition for their work and achievements.",1,0,0,0,0,0
